Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt i retning Grønnåsen;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;Totalt;31;100,0;24;24;0;31;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;1;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;2;10;100,0;24;24;0;10;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt i retning Dramsvegen nord;10;100,0;24;24;0;10;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt i retning Grønnåsen;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-20T00:00+01:00;2022-01-21T00:00+01:00;2022-01-20;Totalt;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;1;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;2;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;Totalt i retning Dramsvegen nord;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;Totalt i retning Grønnåsen;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;2022-01-21;Totalt;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;2022-01-22;1;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;2022-01-22;2;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;2022-01-22;Totalt i retning Dramsvegen nord;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;2022-01-22;Totalt i retning Grønnåsen;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;2022-01-22;Totalt;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;2022-01-23;1;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
